video_name,frame_number,response,Folder,Label,clean_response,clean_response_no_keywords
0lHQ2f0d_2.avi,75,"Multiple individuals are engaged in a chaotic street brawl at night. One person is seen kicking another, amidst a group of people and parked vehicles. yes",Fight\0lHQ2f0d_2.avi,Fight,"Multiple individuals are engaged in a chaotic street brawl at night. One person is seen kicking another, amidst a group of people and parked vehicles.",Multiple individuals are engaged in a chaotic brawl at One person is seen kicking another amidst a group of and parked vehicles
0lHQ2f0d_3.avi,75,"A group of young men are engaged in a street brawl at night, with motorcycles and debris scattered around. yes",Fight\0lHQ2f0d_3.avi,Fight,"A group of young men are engaged in a street brawl at night, with motorcycles and debris scattered around.",A group of young men are engaged in a brawl at with motorcycles and debris scattered around
0NWz-01A2yk_0.avi,75,"A person in pink is seated on a counter in a commercial setting, with other individuals nearby, as captured by surveillance. no",Fight\0NWz-01A2yk_0.avi,Fight,"A person in pink is seated on a counter in a commercial setting, with other individuals nearby, as captured by surveillance.",A person in pink is seated on a in a commercial setting with other individuals nearby as captured by
0NWz-01A2yk_1.avi,75,"A person has fallen or is lying on the floor in a commercial establishment. Another person is nearby, and staff observe the scene from behind a counter. No",Fight\0NWz-01A2yk_1.avi,Fight,"A person has fallen or is lying on the floor in a commercial establishment. Another person is nearby, and staff observe the scene from behind a counter.",A person has fallen or is lying on the floor in a commercial establishment Another person is nearby and staff observe the scene from behind a
0TFi8D8IBg4_1.avi,75,"Four individuals are in a hallway. One walks in the foreground, while three others in the background engage in joyful, playful interaction, with two holding hands. No",Fight\0TFi8D8IBg4_1.avi,Fight,"Four individuals are in a hallway. One walks in the foreground, while three others in the background engage in joyful, playful interaction, with two holding hands.",Four individuals are in a hallway One walks in the foreground while three others in the background engage in joyful playful interaction with two holding hands
0vasozvJYvk_0.avi,75,"A person in a dark hoodie appears to grab another person, pushing a stroller, from behind on a sidewalk. Two other pedestrians walk nearby. Yes.",Fight\0vasozvJYvk_0.avi,Fight,"A person in a dark hoodie appears to grab another person, pushing a stroller, from behind on a sidewalk. Two other pedestrians walk nearby. Yes.",A person in a dark hoodie appears to grab another person pushing a stroller from behind on a Two other pedestrians walk nearby Yes
0_DzLlklZa0_3.avi,75,"Individuals in a correctional facility common area. A group near a doorway appears to be engaged in a forceful interaction or restraint by staff, while others are nearby. Yes",Fight\0_DzLlklZa0_3.avi,Fight,"Individuals in a correctional facility common area. A group near a doorway appears to be engaged in a forceful interaction or restraint by staff, while others are nearby.",Individuals in a correctional facility common area A group near a doorway appears to be engaged in a forceful interaction or restraint by staff while others are nearby
0_DzLlklZa0_4.avi,75,Several men in a correctional facility are involved in a physical struggle or forceful restraint near a door. Other individuals are standing nearby. yes,Fight\0_DzLlklZa0_4.avi,Fight,Several men in a correctional facility are involved in a physical struggle or forceful restraint near a door. Other individuals are standing nearby.,Several men in a correctional facility are involved in a physical struggle or forceful restraint near a door Other individuals are standing nearby
0_DzLlklZa0_5.avi,75,"Several individuals are engaged in a physical altercation within what appears to be a prison common area, with one person down on the floor. yes",Fight\0_DzLlklZa0_5.avi,Fight,"Several individuals are engaged in a physical altercation within what appears to be a prison common area, with one person down on the floor.",Several individuals are engaged in a physical altercation within what appears to be a prison common area with one person down on the floor
0_DzLlklZa0_6.avi,75,An altercation is occurring inside what appears to be a detention facility. A person in dark clothing is seen physically engaging another individual near a doorway. yes,Fight\0_DzLlklZa0_6.avi,Fight,An altercation is occurring inside what appears to be a detention facility. A person in dark clothing is seen physically engaging another individual near a doorway.,An altercation is occurring inside what appears to be a detention facility A person in dark clothing is seen physically engaging another individual near a doorway
1060314╤äΓòò╨╜╤à╨│╨▓╤à╨┤╨╣╤å╨⌐╨»╤ë╨û╨╗╤ë╨⌐╨▓╤å╨É╨╡╤ê╨╕Γòæ╤à╨╛╨┤╤å╨¬Γöñ╤à╨Ü╨½╤äΓòæ╨¢╤äΓòùΓòó╤ÅΓò¥╨ÿ╤à╨¥╨«╤ë╨ù╨í╤àΓöéΓûæ╤ÅΓò¥╨Ö_17.avi,75,"Multiple individuals, some in medical attire, are engaged in a physical struggle or restraint in what appears to be a clinical setting, with one person in a patterned vest at the center. yes",Fight\1060314╤äΓòò╨╜╤à╨│╨▓╤à╨┤╨╣╤å╨⌐╨»╤ë╨û╨╗╤ë╨⌐╨▓╤å╨É╨╡╤ê╨╕Γòæ╤à╨╛╨┤╤å╨¬Γöñ╤à╨Ü╨½╤äΓòæ╨¢╤äΓòùΓòó╤ÅΓò¥╨ÿ╤à╨¥╨«╤ë╨ù╨í╤àΓöéΓûæ╤ÅΓò¥╨Ö_17.avi,Fight,"Multiple individuals, some in medical attire, are engaged in a physical struggle or restraint in what appears to be a clinical setting, with one person in a patterned vest at the center.",Multiple individuals some in medical attire are engaged in a physical struggle or restraint in what appears to be a clinical setting with one person in a patterned vest at the center
1dsLuL5Lvbc_0.avi,75,"Two armed intruders burst into a home, with one commanding a person on the couch to ""Sit the f*** down,"" indicating a forceful home invasion. yes",Fight\1dsLuL5Lvbc_0.avi,Fight,"Two armed intruders burst into a home, with one commanding a person on the couch to ""Sit the f*** down,"" indicating a forceful home invasion.",Two armed intruders burst into a home with one commanding a person on the couch to Sit the f down indicating a forceful home invasion
1dsLuL5Lvbc_1.avi,75,A person sits on a couch observing another person lying on the floor. The scene appears to be a living room and kitchen area. No,Fight\1dsLuL5Lvbc_1.avi,Fight,A person sits on a couch observing another person lying on the floor. The scene appears to be a living room and kitchen area.,A person sits on a couch observing another person lying on the floor The scene appears to be a living room and kitchen area
1dsLuL5Lvbc_2.avi,75,"A masked intruder is seen restraining a child on the floor, while another person sits on a nearby couch. The scene suggests an abduction or home invasion. Yes",Fight\1dsLuL5Lvbc_2.avi,Fight,"A masked intruder is seen restraining a child on the floor, while another person sits on a nearby couch. The scene suggests an abduction or home invasion.",A masked intruder is seen restraining a child on the floor while another person sits on a nearby couch The scene suggests an abduction or home invasion
1dsLuL5Lvbc_3.avi,75,"A person is on a couch in a living room, reacting to an unseen 'intruder' whose dialogue, ""What the f*** bro?"", is displayed on screen, suggesting a tense encounter. yes",Fight\1dsLuL5Lvbc_3.avi,Fight,"A person is on a couch in a living room, reacting to an unseen 'intruder' whose dialogue, ""What the f*** bro?"", is displayed on screen, suggesting a tense encounter.",A person is on a couch in a living room reacting to an unseen intruder whose dialogue What the f bro is displayed on screen suggesting a tense encounter
1DwRGRND_0.avi,75,"Multiple men are engaged in a physical altercation on a paved outdoor area at night, with some individuals on the ground while others stand around. yes",Fight\1DwRGRND_0.avi,Fight,"Multiple men are engaged in a physical altercation on a paved outdoor area at night, with some individuals on the ground while others stand around.",Multiple men are engaged in a physical altercation on a paved outdoor area at with some individuals on the ground while others stand around
1DwRGRND_1.avi,75,"A group of people is involved in a physical altercation or scuffle on what appears to be a street at night. Several individuals are engaged, with some holding onto others in the crowd. yes",Fight\1DwRGRND_1.avi,Fight,"A group of people is involved in a physical altercation or scuffle on what appears to be a street at night. Several individuals are engaged, with some holding onto others in the crowd.",A group of is involved in a physical altercation or scuffle on what appears to be a at Several individuals are engaged with some holding onto others in the crowd
1O4KGHbRt3M_0.avi,75,A person leans over a fare box or equipment near the front of a bus. Other passengers are visible further back. No,Fight\1O4KGHbRt3M_0.avi,Fight,A person leans over a fare box or equipment near the front of a bus. Other passengers are visible further back.,A person leans over a fare box or equipment near the front of a bus Other passengers are visible further back
1O4KGHbRt3M_1.avi,75,"The image shows the empty interior of a bus, with rows of seats on both sides of a central aisle and windows providing light. No",Fight\1O4KGHbRt3M_1.avi,Fight,"The image shows the empty interior of a bus, with rows of seats on both sides of a central aisle and windows providing light.",The image shows the empty interior of a bus with rows of seats on both sides of a central aisle and windows providing light
1O4KGHbRt3M_2.avi,75,"An interior view of a bus shows a person seated on the left. The rest of the bus is largely empty, with windows, seats, and support poles visible. no",Fight\1O4KGHbRt3M_2.avi,Fight,"An interior view of a bus shows a person seated on the left. The rest of the bus is largely empty, with windows, seats, and support poles visible.",An interior view of a bus shows a person seated on the left The rest of the bus is largely empty with windows seats and support poles visible
1O4KGHbRt3M_3.avi,75,Two people inside a bus are in a physical struggle near the driver's seat. A bicycle is visible in the foreground. yes,Fight\1O4KGHbRt3M_3.avi,Fight,Two people inside a bus are in a physical struggle near the driver's seat. A bicycle is visible in the foreground.,Two inside a bus are in a physical struggle near the drivers seat A bicycle is visible in the foreground
1O4KGHbRt3M_4.avi,75,"A blurry surveillance camera view inside a bus shows a person near the front, possibly the driver, with a bicycle onboard. Text overlays suggest a news report. no",Fight\1O4KGHbRt3M_4.avi,Fight,"A blurry surveillance camera view inside a bus shows a person near the front, possibly the driver, with a bicycle onboard. Text overlays suggest a news report.",A blurry view inside a bus shows a person near the front possibly the driver with a bicycle onboard Text overlays suggest a news report
1r0Wz04q_0.avi,75,"Two individuals are inside a shop, with one forcing open an access point behind the counter while another leans over. The scene appears to be a break-in. yes",Fight\1r0Wz04q_0.avi,Fight,"Two individuals are inside a shop, with one forcing open an access point behind the counter while another leans over. The scene appears to be a break-in.",Two individuals are inside a shop with one forcing open an access point behind the while another leans over The scene appears to be a breakin
1tU4kxa51vw_1.avi,75,"A group of individuals are assaulting two people in an outdoor, paved area at night. One victim is on the ground, another is kneeling, while attackers stand over them. yes",Fight\1tU4kxa51vw_1.avi,Fight,"A group of individuals are assaulting two people in an outdoor, paved area at night. One victim is on the ground, another is kneeling, while attackers stand over them.",A group of individuals are assaulting two in an outdoor paved area at One victim is on the ground another is kneeling while attackers stand over them
1XFiS6Lt_0.avi,75,"Several people are gathered on a sidewalk at night, with two individuals in the center appearing to be involved in a physical altercation as others observe. yes",Fight\1XFiS6Lt_0.avi,Fight,"Several people are gathered on a sidewalk at night, with two individuals in the center appearing to be involved in a physical altercation as others observe.",Several are gathered on a at with two individuals in the center appearing to be involved in a physical altercation as others observe
1XFiS6Lt_1.avi,75,A busy nighttime street scene shows multiple groups of people on a sidewalk. Several individuals are engaged in arguments or physical altercations. Yes,Fight\1XFiS6Lt_1.avi,Fight,A busy nighttime street scene shows multiple groups of people on a sidewalk. Several individuals are engaged in arguments or physical altercations.,A busy nighttime scene shows multiple groups of on a Several individuals are engaged in arguments or physical altercations
20130506 05_58 ╤ê╨º╨¡╤äΓòæΓòæ ╤ëΓòù╨í╤å╨«╨¡_37.avi,75,"Hospital staff and patients/visitors are present in a medical ward. Interactions are occurring, including some standing conversations near gurneys and equipment. no",Fight\20130506 05_58 ╤ê╨º╨¡╤äΓòæΓòæ ╤ëΓòù╨í╤å╨«╨¡_37.avi,Fight,"Hospital staff and patients/visitors are present in a medical ward. Interactions are occurring, including some standing conversations near gurneys and equipment.",Hospital staff and patientsvisitors are present in a medical ward Interactions are occurring including some standing conversations near gurneys and equipment
24E0xYYUz44_0.avi,75,"Two individuals are engaged in a physical altercation in a cafeteria or dining area, with one person appearing to be on the ground. yes",Fight\24E0xYYUz44_0.avi,Fight,"Two individuals are engaged in a physical altercation in a cafeteria or dining area, with one person appearing to be on the ground.",Two individuals are engaged in a physical altercation in a cafeteria or dining area with one person appearing to be on the ground
24E0xYYUz44_1.avi,75,"Several individuals are engaged in a physical fight in a cafeteria-like setting, while another person flees the scene. yes",Fight\24E0xYYUz44_1.avi,Fight,"Several individuals are engaged in a physical fight in a cafeteria-like setting, while another person flees the scene.",Several individuals are engaged in a physical fight in a cafeterialike setting while another person flees the scene
24E0xYYUz44_2.avi,75,"A physical altercation is occurring in a public space, possibly a restaurant. One person is on the ground being restrained, while others are involved or observing nearby. Yes",Fight\24E0xYYUz44_2.avi,Fight,"A physical altercation is occurring in a public space, possibly a restaurant. One person is on the ground being restrained, while others are involved or observing nearby.",A physical altercation is occurring in a public space possibly a restaurant One person is on the ground being restrained while others are involved or observing nearby
24E0xYYUz44_3.avi,75,"Multiple people are engaged in a brawl inside a restaurant or cafeteria, with some individuals on the ground amidst the scuffle. yes",Fight\24E0xYYUz44_3.avi,Fight,"Multiple people are engaged in a brawl inside a restaurant or cafeteria, with some individuals on the ground amidst the scuffle.",Multiple are engaged in a brawl inside a restaurant or cafeteria with some individuals on the ground amidst the scuffle
24E0xYYUz44_4.avi,75,"A physical fight involving several individuals is occurring inside a restaurant or cafeteria, with some people on the floor. yes",Fight\24E0xYYUz44_4.avi,Fight,"A physical fight involving several individuals is occurring inside a restaurant or cafeteria, with some people on the floor.",A physical fight involving several individuals is occurring inside a restaurant or cafeteria with some on the floor
24E0xYYUz44_5.avi,75,"Two men confront each other in an indoor setting. One man points a handgun towards the other, while tables in the background appear overturned, indicating a tense and potentially violent situation. yes",Fight\24E0xYYUz44_5.avi,Fight,"Two men confront each other in an indoor setting. One man points a handgun towards the other, while tables in the background appear overturned, indicating a tense and potentially violent situation.",Two men confront each other in an setting One man points a handgun towards the other while tables in the background appear overturned indicating a tense and potentially violent situation
24E0xYYUz44_6.avi,75,"Multiple individuals are engaged in a physical altercation indoors, possibly a restaurant or cafeteria. A hat lies on the floor nearby. yes",Fight\24E0xYYUz44_6.avi,Fight,"Multiple individuals are engaged in a physical altercation indoors, possibly a restaurant or cafeteria. A hat lies on the floor nearby.",Multiple individuals are engaged in a physical altercation indoors possibly a restaurant or cafeteria A hat lies on the floor nearby
24E0xYYUz44_7.avi,75,"Multiple individuals are engaged in a physical struggle in a cafeteria. Tables and chairs are present, and debris is on the floor. yes",Fight\24E0xYYUz44_7.avi,Fight,"Multiple individuals are engaged in a physical struggle in a cafeteria. Tables and chairs are present, and debris is on the floor.",Multiple individuals are engaged in a physical struggle in a cafeteria Tables and chairs are present and debris is on the floor
2hQMRq06NJs_0.avi,75,A bald man physically restrains or assaults another person (pixelated) in an indoor setting. The interaction appears to be a struggle. yes,Fight\2hQMRq06NJs_0.avi,Fight,A bald man physically restrains or assaults another person (pixelated) in an indoor setting. The interaction appears to be a struggle.,A bald man physically restrains or assaults another person pixelated in an setting The interaction appears to be a struggle
2sy_eLpH-PI_0.avi,75,Two individuals interact near a car; one is significantly crouched down while the other bends over them. Yes,Fight\2sy_eLpH-PI_0.avi,Fight,Two individuals interact near a car; one is significantly crouched down while the other bends over them.,Two individuals interact near a car one is significantly crouched down while the other bends over them
2sy_eLpH-PI_1.avi,75,"Multiple people are gathered in a dim, outdoor setting. One person is on the ground while another is bent over them, suggesting a possible physical altercation. yes",Fight\2sy_eLpH-PI_1.avi,Fight,"Multiple people are gathered in a dim, outdoor setting. One person is on the ground while another is bent over them, suggesting a possible physical altercation.",Multiple are gathered in a dim outdoor setting One person is on the ground while another is bent over them suggesting a possible physical altercation
3CQi0ZCCHvc_0.avi,75,"Two people are in a dynamic interaction, possibly struggling or falling, next to a wall with a poster. yes",Fight\3CQi0ZCCHvc_0.avi,Fight,"Two people are in a dynamic interaction, possibly struggling or falling, next to a wall with a poster.",Two are in a dynamic interaction possibly struggling or falling next to a wall with a poster
3CQi0ZCCHvc_1.avi,75,Several individuals are involved in an apparent struggle or attack in a dimly lit hallway; one person is on the ground. yes,Fight\3CQi0ZCCHvc_1.avi,Fight,Several individuals are involved in an apparent struggle or attack in a dimly lit hallway; one person is on the ground.,Several individuals are involved in an apparent struggle or attack in a dimly lit hallway one person is on the ground
3CQi0ZCCHvc_2.avi,75,"Two individuals are in an indoor space. One person in dark attire appears to be restraining or pulling down another person in light attire, who is bent over. Yes",Fight\3CQi0ZCCHvc_2.avi,Fight,"Two individuals are in an indoor space. One person in dark attire appears to be restraining or pulling down another person in light attire, who is bent over.",Two individuals are in an space One person in dark attire appears to be restraining or pulling down another person in light attire who is bent over
3kpviz7lAMY_0.avi,75,"A person appears to be pushing another down a staircase in a building, captured by a security camera with a date and time stamp. Yes",Fight\3kpviz7lAMY_0.avi,Fight,"A person appears to be pushing another down a staircase in a building, captured by a security camera with a date and time stamp.",A person appears to be pushing another down a staircase in a building captured by a with a date and time stamp
3kpviz7lAMY_1.avi,75,"A person is crouched on the floor in a hallway next to a wall, with papers and an object scattered nearby. A staircase is visible on the right. no",Fight\3kpviz7lAMY_1.avi,Fight,"A person is crouched on the floor in a hallway next to a wall, with papers and an object scattered nearby. A staircase is visible on the right.",A person is crouched on the floor in a hallway next to a wall with papers and an object scattered nearby A staircase is visible on the right
3kpviz7lAMY_2.avi,75,"A person is on their hands and knees on a hallway floor, surrounded by scattered papers and objects, next to a staircase, captured by a security camera. no",Fight\3kpviz7lAMY_2.avi,Fight,"A person is on their hands and knees on a hallway floor, surrounded by scattered papers and objects, next to a staircase, captured by a security camera.",A person is on their hands and knees on a hallway floor surrounded by scattered papers and objects next to a staircase captured by a
3kpviz7lAMY_3.avi,75,"Two individuals are on the floor in a hallway, one on top of the other, with papers scattered nearby. A staircase is visible. yes",Fight\3kpviz7lAMY_3.avi,Fight,"Two individuals are on the floor in a hallway, one on top of the other, with papers scattered nearby. A staircase is visible.",Two individuals are on the floor in a hallway one on top of the other with papers scattered nearby A staircase is visible
3kpviz7lAMY_4.avi,75,"A person is kneeling on the floor, possibly picking up scattered papers, next to a stairwell, captured by a security camera. No",Fight\3kpviz7lAMY_4.avi,Fight,"A person is kneeling on the floor, possibly picking up scattered papers, next to a stairwell, captured by a security camera.",A person is kneeling on the floor possibly picking up scattered papers next to a stairwell captured by a
3OKArbzg1uc_0.avi,75,"Inside a bus, passengers are seated and standing. On the right, blurry figures appear to be engaged in a struggle or dynamic incident, captured on surveillance footage for news. yes",Fight\3OKArbzg1uc_0.avi,Fight,"Inside a bus, passengers are seated and standing. On the right, blurry figures appear to be engaged in a struggle or dynamic incident, captured on surveillance footage for news.",Inside a bus passengers are seated and standing On the right blurry figures appear to be engaged in a struggle or dynamic incident captured on footage for news
3OKArbzg1uc_1.avi,75,"Passengers inside a bus are in disarray, with several people on the floor and others standing. It appears to be the aftermath of an incident. No",Fight\3OKArbzg1uc_1.avi,Fight,"Passengers inside a bus are in disarray, with several people on the floor and others standing. It appears to be the aftermath of an incident.",Passengers inside a bus are in disarray with several on the floor and others standing It appears to be the aftermath of an incident
3OKArbzg1uc_2.avi,75,"Inside a bus, two individuals are engaged in a physical altercation near the seats. Another person stands further back in the aisle. Yes",Fight\3OKArbzg1uc_2.avi,Fight,"Inside a bus, two individuals are engaged in a physical altercation near the seats. Another person stands further back in the aisle.",Inside a bus two individuals are engaged in a physical altercation near the seats Another person further back in the aisle
3OKArbzg1uc_3.avi,75,"Several people are engaged in a physical struggle inside a public transport vehicle. One person appears to be pinned down, with a white object visible on the floor. yes",Fight\3OKArbzg1uc_3.avi,Fight,"Several people are engaged in a physical struggle inside a public transport vehicle. One person appears to be pinned down, with a white object visible on the floor.",Several are engaged in a physical struggle inside a public transport vehicle One person appears to be pinned down with a white object visible on the floor
3OKArbzg1uc_4.avi,75,"Inside a bus, several individuals are engaged in a physical altercation. One person is on the ground, while others appear to be actively involved in the struggle. yes",Fight\3OKArbzg1uc_4.avi,Fight,"Inside a bus, several individuals are engaged in a physical altercation. One person is on the ground, while others appear to be actively involved in the struggle.",Inside a bus several individuals are engaged in a physical altercation One person is on the ground while others appear to be actively involved in the struggle
3SS0E4SmTk8_0.avi,75,Two people are interacting in a parking area with yellow lines. It's a timestamped security camera still from 2014. yes,Fight\3SS0E4SmTk8_0.avi,Fight,Two people are interacting in a parking area with yellow lines. It's a timestamped security camera still from 2014.,Two are interacting in a parking area with yellow lines Its a timestamped still from 2014
3SS0E4SmTk8_1.avi,75,"CCTV footage shows a concrete area with yellow markings, parked cars, and a person's lower body visible on the left. Date/time: 09/08/2014 21:53:28. no",Fight\3SS0E4SmTk8_1.avi,Fight,"CCTV footage shows a concrete area with yellow markings, parked cars, and a person's lower body visible on the left. Date/time: 09/08/2014 21:53:28.",CCTV footage shows a concrete area with yellow markings parked cars and a persons lower body visible on the left Datetime 09082014 215328
3Vw7MoNBgx4_0.avi,75,"Law enforcement officers are apprehending an individual on the ground next to a red SUV, with a police car and another officer approaching. Yes",Fight\3Vw7MoNBgx4_0.avi,Fight,"Law enforcement officers are apprehending an individual on the ground next to a red SUV, with a police car and another officer approaching.",Law enforcement officers are apprehending an individual on the ground next to a red SUV with a police car and another officer approaching
4HH7yMU8y9A_0.avi,75,"Multiple individuals are involved in a physical altercation near a doorway. One person is on the ground, another is lying down, and a third is standing over them with an outstretched hand. yes",Fight\4HH7yMU8y9A_0.avi,Fight,"Multiple individuals are involved in a physical altercation near a doorway. One person is on the ground, another is lying down, and a third is standing over them with an outstretched hand.",Multiple individuals are involved in a physical altercation near a doorway One person is on the ground another is lying down and a third is standing over them with an outstretched hand
4HH7yMU8y9A_1.avi,75,"A person in a dark uniform stands at a doorway, looking outside towards what appears to be a parking lot with vehicles. No",Fight\4HH7yMU8y9A_1.avi,Fight,"A person in a dark uniform stands at a doorway, looking outside towards what appears to be a parking lot with vehicles.",A person in a dark uniform at a doorway looking outside towards what appears to be a parking lot with vehicles
4RqDG4I4iAk_0.avi,75,"Several people interact in a bar/restaurant. A man points while another holds a child, and others stand around tables. no",Fight\4RqDG4I4iAk_0.avi,Fight,"Several people interact in a bar/restaurant. A man points while another holds a child, and others stand around tables.",Several interact in a barrestaurant A man points while another holds a child and others stand around tables
4RqDG4I4iAk_1.avi,75,"A physical altercation is occurring between multiple individuals inside a bar or restaurant, captured by a security camera. yes",Fight\4RqDG4I4iAk_1.avi,Fight,"A physical altercation is occurring between multiple individuals inside a bar or restaurant, captured by a security camera.",A physical altercation is occurring between multiple individuals inside a bar or restaurant captured by a
4RqDG4I4iAk_2.avi,75,"Multiple people are involved in a physical altercation or struggle inside a restaurant or bar, with a child present during the commotion. yes",Fight\4RqDG4I4iAk_2.avi,Fight,"Multiple people are involved in a physical altercation or struggle inside a restaurant or bar, with a child present during the commotion.",Multiple are involved in a physical altercation or struggle inside a restaurant or bar with a child present during the commotion
4RqDG4I4iAk_3.avi,75,"Three individuals are involved in a physical confrontation inside a venue, with one person appearing to strike another, indicating an aggressive incident. yes",Fight\4RqDG4I4iAk_3.avi,Fight,"Three individuals are involved in a physical confrontation inside a venue, with one person appearing to strike another, indicating an aggressive incident.",Three individuals are involved in a physical confrontation inside a venue with one person appearing to strike another indicating an aggressive incident
4RqDG4I4iAk_4.avi,75,"Several people are involved in a physical struggle or altercation inside what appears to be a bar or restaurant. One person is being pulled, with a shoe visible on the floor. yes",Fight\4RqDG4I4iAk_4.avi,Fight,"Several people are involved in a physical struggle or altercation inside what appears to be a bar or restaurant. One person is being pulled, with a shoe visible on the floor.",Several are involved in a physical struggle or altercation inside what appears to be a bar or restaurant One person is being pulled with a shoe visible on the floor
4RqDG4I4iAk_5.avi,75,"A physical scuffle is occurring between individuals inside a bar or restaurant, with one person appearing to be on the ground during the struggle. yes",Fight\4RqDG4I4iAk_5.avi,Fight,"A physical scuffle is occurring between individuals inside a bar or restaurant, with one person appearing to be on the ground during the struggle.",A physical scuffle is occurring between individuals inside a bar or restaurant with one person appearing to be on the ground during the struggle
4RqDG4I4iAk_6.avi,75,"Multiple individuals are involved in a physical altercation on the floor of a establishment, with some appearing to restrain or attack another. Yes",Fight\4RqDG4I4iAk_6.avi,Fight,"Multiple individuals are involved in a physical altercation on the floor of a establishment, with some appearing to restrain or attack another.",Multiple individuals are involved in a physical altercation on the floor of a establishment with some appearing to restrain or attack another
4RqDG4I4iAk_7.avi,75,"A physical altercation is occurring between multiple individuals in what appears to be a restaurant or bar, with at least one person on the ground. Yes",Fight\4RqDG4I4iAk_7.avi,Fight,"A physical altercation is occurring between multiple individuals in what appears to be a restaurant or bar, with at least one person on the ground.",A physical altercation is occurring between multiple individuals in what appears to be a restaurant or bar with at least one person on the ground
4RqDG4I4iAk_8.avi,75,"A physical altercation is taking place inside a restaurant or bar. One person is on the floor, while others are actively involved in the struggle. yes",Fight\4RqDG4I4iAk_8.avi,Fight,"A physical altercation is taking place inside a restaurant or bar. One person is on the floor, while others are actively involved in the struggle.",A physical altercation is taking place inside a restaurant or bar One person is on the floor while others are actively involved in the struggle
4yTlGiDoxBo_0.avi,75,"A blurry, dark image shows a group of people indoors, with some faces obscured. A person with dark, curly hair is in the foreground. A bright window is to the right. No",Fight\4yTlGiDoxBo_0.avi,Fight,"A blurry, dark image shows a group of people indoors, with some faces obscured. A person with dark, curly hair is in the foreground. A bright window is to the right.",A blurry dark image shows a group of indoors with some faces obscured A person with dark curly hair is in the foreground A bright window is to the right
